session,combo,n_ind,stop,trades,win_rate,pnl,avg_win,avg_loss,max_dd,consec_L,sharpe,exp,score
13:00-17:00,STOCH+BB+MACD,3,40,161,21.1,-12444.0,396.0,-204.0,-12636.0,16,-0.47,-77.3,-9999.0
13:00-17:00,BB+VWAP+RSI+VOL,4,40,233,20.2,-19332.0,396.0,-204.0,-19524.0,13,-0.71,-83.0,-9999.0
13:00-17:00,BB+VWAP+RSI+VOL,4,30,238,17.6,-17752.0,296.0,-154.0,-17810.0,21,-0.8,-74.6,-9999.0
13:00-17:00,BB+VWAP+RSI+VOL,4,20,239,10.9,-17056.0,196.0,-104.0,-17056.0,31,-1.44,-71.4,-9999.0
13:00-17:00,BB+MACD+RSI+VOL,4,40,238,18.5,-22152.0,396.0,-204.0,-22512.0,14,-0.8,-93.1,-9999.0
13:00-17:00,BB+MACD+RSI+VOL,4,30,245,18.0,-17930.0,296.0,-154.0,-17930.0,22,-0.81,-73.2,-9999.0
13:00-17:00,BB+MACD+RSI+VOL,4,20,245,10.6,-17680.0,196.0,-104.0,-17680.0,32,-1.44,-72.2,-9999.0
13:00-17:00,BB+MACD+VWAP+VOL,4,40,201,18.4,-18804.0,396.0,-204.0,-18804.0,29,-0.68,-93.6,-9999.0
13:00-17:00,BB+MACD+VWAP+VOL,4,30,209,17.2,-15986.0,296.0,-154.0,-15986.0,34,-0.79,-76.5,-9999.0
13:00-17:00,BB+RSI+VOL,3,40,230,19.1,-20520.0,396.0,-204.0,-20712.0,14,-0.74,-89.2,-9999.0
13:00-17:00,BB+MACD+VWAP+RSI,4,40,213,21.6,-15852.0,396.0,-204.0,-16740.0,16,-0.57,-74.4,-9999.0
13:00-17:00,BB+MACD+VWAP+RSI,4,30,218,19.7,-14222.0,296.0,-154.0,-14222.0,21,-0.63,-65.2,-9999.0
13:00-17:00,BB+MACD+VWAP+RSI,4,20,219,11.0,-15576.0,196.0,-104.0,-15576.0,25,-1.31,-71.1,-9999.0
13:00-17:00,STOCH+VWAP+RSI+VOL,4,40,239,21.8,-17556.0,396.0,-204.0,-17556.0,14,-0.59,-73.5,-9999.0
13:00-17:00,STOCH+VWAP+RSI+VOL,4,30,245,20.0,-15680.0,296.0,-154.0,-15822.0,19,-0.74,-64.0,-9999.0
13:00-17:00,STOCH+VWAP+RSI+VOL,4,20,245,10.6,-17680.0,196.0,-104.0,-17680.0,19,-1.48,-72.2,-9999.0
